Gene	mRNA	GN
SoyZH13_16G035901	SoyZH13_16G035901.m1	11437277
SoyZH13_16G035901	SoyZH13_16G035901.m2	11437277
SoyZH13_16G035901	SoyZH13_16G035901.m3	11437277
SoyZH13_16G035901	SoyZH13_16G035901.m4	11437277
SoyZH13_16G035901	SoyZH13_16G035901.m5	11437277
SoyZH13_16G035901	SoyZH13_16G035901.m6	11437277
SoyZH13_16G038100	SoyZH13_16G038100.m1	PNSB2
SoyZH13_16G042900	SoyZH13_16G042900.m1	100804614
SoyZH13_16G042900	SoyZH13_16G042900.m2	100804614
SoyZH13_16G042900	SoyZH13_16G042900.m3	100804614
SoyZH13_16G103102	SoyZH13_16G103102.m4	102586886
SoyZH13_16G103300	SoyZH13_16G103300.m1	11406295
SoyZH13_16G103300	SoyZH13_16G103300.m2	11406295
SoyZH13_16G103300	SoyZH13_16G103300.m3	11406295
SoyZH13_16G103300	SoyZH13_16G103300.m4	11406295
SoyZH13_16G103300	SoyZH13_16G103300.m5	11406295
SoyZH13_16G103300	SoyZH13_16G103300.m6	11406295
SoyZH13_16G103300	SoyZH13_16G103300.m7	11406295
SoyZH13_16G104000	SoyZH13_16G104000.m1	STXBP5
SoyZH13_16G104900	SoyZH13_16G104900.m1	100817777
SoyZH13_16G104900	SoyZH13_16G104900.m2	100817777
SoyZH13_16G104900	SoyZH13_16G104900.m3	100817777
SoyZH13_16G104900	SoyZH13_16G104900.m4	100817777
SoyZH13_16G107500	SoyZH13_16G107500.m1	11445341
SoyZH13_16G107500	SoyZH13_16G107500.m2	11445341
SoyZH13_16G114000	SoyZH13_16G114000.m1	F3H
SoyZH13_16G123600	SoyZH13_16G123600.m1	LOC108991743
SoyZH13_16G123600	SoyZH13_16G123600.m2	LOC108991743
SoyZH13_16G125200	SoyZH13_16G125200.m1	DIR2-1
SoyZH13_16G128001	SoyZH13_16G128001.m1	AT3G50380
SoyZH13_16G128001	SoyZH13_16G128001.m2	AT3G50380
SoyZH13_16G128001	SoyZH13_16G128001.m3	AT3G50380
SoyZH13_16G128001	SoyZH13_16G128001.m4	AT3G50380
SoyZH13_16G128001	SoyZH13_16G128001.m5	AT3G50380
SoyZH13_16G145001	SoyZH13_16G145001.m1	LHCB1
SoyZH13_16G150500	SoyZH13_16G150500.m1	LSM3
SoyZH13_16G157900	SoyZH13_16G157900.m1	11440642
SoyZH13_16G157900	SoyZH13_16G157900.m2	11440642
SoyZH13_16G157900	SoyZH13_16G157900.m3	11440642
SoyZH13_16G161900	SoyZH13_16G161900.m1	100775387
SoyZH13_16G161900	SoyZH13_16G161900.m10	100775387
SoyZH13_16G161900	SoyZH13_16G161900.m11	100775387
SoyZH13_16G161900	SoyZH13_16G161900.m12	100775387
SoyZH13_16G161900	SoyZH13_16G161900.m13	100775387
SoyZH13_16G161900	SoyZH13_16G161900.m14	100775387
SoyZH13_16G161900	SoyZH13_16G161900.m15	100775387
SoyZH13_16G161900	SoyZH13_16G161900.m16	100775387
SoyZH13_16G161900	SoyZH13_16G161900.m17	100775387
SoyZH13_16G161900	SoyZH13_16G161900.m18	100775387
SoyZH13_16G161900	SoyZH13_16G161900.m2	100775387
SoyZH13_16G161900	SoyZH13_16G161900.m3	100775387
SoyZH13_16G161900	SoyZH13_16G161900.m4	100775387
SoyZH13_16G161900	SoyZH13_16G161900.m5	100775387
SoyZH13_16G161900	SoyZH13_16G161900.m6	100775387
SoyZH13_16G161900	SoyZH13_16G161900.m7	100775387
SoyZH13_16G161900	SoyZH13_16G161900.m8	100775387
SoyZH13_16G161900	SoyZH13_16G161900.m9	100775387
SoyZH13_16G162600	SoyZH13_16G162600.m1	100810148
SoyZH13_16G162600	SoyZH13_16G162600.m10	100810148
SoyZH13_16G162600	SoyZH13_16G162600.m11	100810148
SoyZH13_16G162600	SoyZH13_16G162600.m12	100810148
SoyZH13_16G162600	SoyZH13_16G162600.m13	100810148
SoyZH13_16G162600	SoyZH13_16G162600.m2	100810148
SoyZH13_16G162600	SoyZH13_16G162600.m3	100810148
SoyZH13_16G162600	SoyZH13_16G162600.m4	100810148
SoyZH13_16G162600	SoyZH13_16G162600.m6	100810148
SoyZH13_16G162600	SoyZH13_16G162600.m7	100810148
SoyZH13_16G162600	SoyZH13_16G162600.m8	100810148
SoyZH13_16G162600	SoyZH13_16G162600.m9	100810148
SoyZH13_16G169904	SoyZH13_16G169904.m1	PSKR
SoyZH13_16G171600	SoyZH13_16G171600.m5	100778412
SoyZH13_16G183200	SoyZH13_16G183200.m4	RPL2
SoyZH13_16G185000	SoyZH13_16G185000.m1	EIF6
SoyZH13_16G195100	SoyZH13_16G195100.m1	11419389
SoyZH13_16G195100	SoyZH13_16G195100.m2	11419389
SoyZH13_16G195100	SoyZH13_16G195100.m3	11419389
SoyZH13_16G195100	SoyZH13_16G195100.m4	11419389
SoyZH13_16G195100	SoyZH13_16G195100.m5	11419389
SoyZH13_16G195100	SoyZH13_16G195100.m6	11419389
SoyZH13_16G196900	SoyZH13_16G196900.m1	LOC110421850
SoyZH13_17G004000	SoyZH13_17G004000.m1	25494349
SoyZH13_17G008500	SoyZH13_17G008500.m1	UAF30
SoyZH13_17G008500	SoyZH13_17G008500.m2	UAF30
SoyZH13_17G010100	SoyZH13_17G010100.m1	PFP-BETA
SoyZH13_17G010100	SoyZH13_17G010100.m2	PFP-BETA
SoyZH13_17G010100	SoyZH13_17G010100.m3	PFP-BETA
SoyZH13_17G010100	SoyZH13_17G010100.m4	PFP-BETA
SoyZH13_17G013700	SoyZH13_17G013700.m1	LOC107466763
SoyZH13_17G040200	SoyZH13_17G040200.m1	11421894
SoyZH13_17G040200	SoyZH13_17G040200.m2	11421894
SoyZH13_17G040200	SoyZH13_17G040200.m3	11421894
SoyZH13_17G048800	SoyZH13_17G048800.m1	MED20
SoyZH13_17G048800	SoyZH13_17G048800.m2	MED20
SoyZH13_17G048800	SoyZH13_17G048800.m3	MED20
SoyZH13_17G048800	SoyZH13_17G048800.m4	MED20
SoyZH13_17G048800	SoyZH13_17G048800.m5	MED20
SoyZH13_17G048800	SoyZH13_17G048800.m6	MED20
SoyZH13_17G071900	SoyZH13_17G071900.m1	100785568
SoyZH13_17G071900	SoyZH13_17G071900.m2	100785568
SoyZH13_17G075100	SoyZH13_17G075100.m1	F3'H
SoyZH13_17G076500	SoyZH13_17G076500.m2	102669086
SoyZH13_17G076500	SoyZH13_17G076500.m3	102669086
SoyZH13_17G085000	SoyZH13_17G085000.m1	102601227
SoyZH13_17G085000	SoyZH13_17G085000.m2	102601227
SoyZH13_17G089700	SoyZH13_17G089700.m1	RSMG
SoyZH13_17G095000	SoyZH13_17G095000.m1	11446575
SoyZH13_17G095000	SoyZH13_17G095000.m2	11446575
SoyZH13_17G095000	SoyZH13_17G095000.m3	11446575
SoyZH13_17G095000	SoyZH13_17G095000.m4	11446575
SoyZH13_17G095000	SoyZH13_17G095000.m5	11446575
SoyZH13_17G095000	SoyZH13_17G095000.m6	11446575
SoyZH13_17G095000	SoyZH13_17G095000.m7	11446575
SoyZH13_17G095000	SoyZH13_17G095000.m8	11446575
SoyZH13_17G101400	SoyZH13_17G101400.m3	100819234
SoyZH13_17G102500	SoyZH13_17G102500.m1	CRR6
SoyZH13_17G104400	SoyZH13_17G104400.m1	GCP2
SoyZH13_17G104400	SoyZH13_17G104400.m2	GCP2
SoyZH13_17G104400	SoyZH13_17G104400.m3	GCP2
SoyZH13_17G113700	SoyZH13_17G113700.m1	MED17
SoyZH13_17G113700	SoyZH13_17G113700.m2	MED17
SoyZH13_17G113700	SoyZH13_17G113700.m3	MED17
SoyZH13_17G113700	SoyZH13_17G113700.m4	MED17
SoyZH13_17G113700	SoyZH13_17G113700.m5	MED17
SoyZH13_17G113700	SoyZH13_17G113700.m6	MED17
SoyZH13_17G115400	SoyZH13_17G115400.m11	11409042
SoyZH13_17G115400	SoyZH13_17G115400.m6	11409042
SoyZH13_17G127000	SoyZH13_17G127000.m1	ARGB
SoyZH13_17G132600	SoyZH13_17G132600.m1	11409499
SoyZH13_17G132600	SoyZH13_17G132600.m2	11409499
SoyZH13_17G132600	SoyZH13_17G132600.m3	11409499
SoyZH13_17G132600	SoyZH13_17G132600.m4	11409499
SoyZH13_17G132600	SoyZH13_17G132600.m5	11409499
SoyZH13_17G145100	SoyZH13_17G145100.m1	25493568
SoyZH13_17G145100	SoyZH13_17G145100.m2	25493568
SoyZH13_17G145100	SoyZH13_17G145100.m3	25493568
SoyZH13_17G148401	SoyZH13_17G148401.m1	PEPC
SoyZH13_17G149000	SoyZH13_17G149000.m1	100791128
SoyZH13_17G154000	SoyZH13_17G154000.m2	102592656
SoyZH13_17G177000	SoyZH13_17G177000.m1	PSBH
SoyZH13_17G178000	SoyZH13_17G178000.m1	CDCDR
SoyZH13_17G187200	SoyZH13_17G187200.m1	LOC101510476
SoyZH13_17G188300	SoyZH13_17G188300.m1	LOC109715152
SoyZH13_17G189400	SoyZH13_17G189400.m1	RSMH
SoyZH13_17G189700	SoyZH13_17G189700.m1	11433034
SoyZH13_17G217401	SoyZH13_17G217401.m1	NBP35
SoyZH13_17G217401	SoyZH13_17G217401.m2	NBP35
SoyZH13_17G222300	SoyZH13_17G222300.m1	25482042
SoyZH13_17G222300	SoyZH13_17G222300.m2	25482042
SoyZH13_17G222300	SoyZH13_17G222300.m3	25482042
SoyZH13_17G222300	SoyZH13_17G222300.m4	25482042
SoyZH13_17G222300	SoyZH13_17G222300.m5	25482042
SoyZH13_17G226800	SoyZH13_17G226800.m1	11417872
SoyZH13_17G228000	SoyZH13_17G228000.m3	LOC113847171
SoyZH13_17G230400	SoyZH13_17G230400.m3	11428035
SoyZH13_17G233800	SoyZH13_17G233800.m1	11431804
SoyZH13_17G233800	SoyZH13_17G233800.m2	11431804
SoyZH13_17G233800	SoyZH13_17G233800.m4	11431804
SoyZH13_17G233800	SoyZH13_17G233800.m5	11431804
SoyZH13_17G233800	SoyZH13_17G233800.m6	11431804
SoyZH13_17G233800	SoyZH13_17G233800.m9	11431804
SoyZH13_17G234100	SoyZH13_17G234100.m1	100803026
SoyZH13_17G234100	SoyZH13_17G234100.m2	100803026
SoyZH13_17G237601	SoyZH13_17G237601.m1	25482130
SoyZH13_17G237601	SoyZH13_17G237601.m2	25482130
SoyZH13_17G237601	SoyZH13_17G237601.m3	25482130
SoyZH13_17G237601	SoyZH13_17G237601.m4	25482130
SoyZH13_17G237601	SoyZH13_17G237601.m5	25482130
SoyZH13_17G237601	SoyZH13_17G237601.m6	25482130
SoyZH13_17G237601	SoyZH13_17G237601.m7	25482130
SoyZH13_17G238600	SoyZH13_17G238600.m1	LOC108991743
SoyZH13_18G007600	SoyZH13_18G007600.m1	100792132
SoyZH13_18G012903	SoyZH13_18G012903.m1	102662435
SoyZH13_18G014301	SoyZH13_18G014301.m1	AT5G10320
SoyZH13_18G014301	SoyZH13_18G014301.m2	AT5G10320
SoyZH13_18G014301	SoyZH13_18G014301.m3	AT5G10320
SoyZH13_18G014301	SoyZH13_18G014301.m4	AT5G10320
SoyZH13_18G014600	SoyZH13_18G014600.m1	UGT85K17
SoyZH13_18G021500	SoyZH13_18G021500.m1	BCCP
SoyZH13_18G037400	SoyZH13_18G037400.m1	LOC107480837
SoyZH13_18G046500	SoyZH13_18G046500.m1	11406721
SoyZH13_18G046600	SoyZH13_18G046600.m1	11408266
SoyZH13_18G046600	SoyZH13_18G046600.m2	11408266
SoyZH13_18G046600	SoyZH13_18G046600.m3	11408266
SoyZH13_18G049400	SoyZH13_18G049400.m1	102669261
SoyZH13_18G049400	SoyZH13_18G049400.m2	102669261
SoyZH13_18G055100	SoyZH13_18G055100.m1	LOC104610663
SoyZH13_18G070900	SoyZH13_18G070900.m1	25490737
SoyZH13_18G072100	SoyZH13_18G072100.m1	11444856
SoyZH13_18G072100	SoyZH13_18G072100.m2	11444856
SoyZH13_18G072100	SoyZH13_18G072100.m3	11444856
SoyZH13_18G094500	SoyZH13_18G094500.m1	GATA
SoyZH13_18G094500	SoyZH13_18G094500.m2	GATA
SoyZH13_18G096700	SoyZH13_18G096700.m1	25490508
SoyZH13_18G096700	SoyZH13_18G096700.m2	25490508
SoyZH13_18G096700	SoyZH13_18G096700.m3	25490508
SoyZH13_18G096700	SoyZH13_18G096700.m4	25490508
SoyZH13_18G096700	SoyZH13_18G096700.m5	25490508
SoyZH13_18G096700	SoyZH13_18G096700.m6	25490508
SoyZH13_18G096700	SoyZH13_18G096700.m7	25490508
SoyZH13_18G113200	SoyZH13_18G113200.m1	MED10
SoyZH13_18G113200	SoyZH13_18G113200.m2	MED10
SoyZH13_18G118900	SoyZH13_18G118900.m3	100809644
SoyZH13_18G118900	SoyZH13_18G118900.m5	100809644
SoyZH13_18G128800	SoyZH13_18G128800.m1	PFK
SoyZH13_18G136325	SoyZH13_18G136325.m1	AP3
SoyZH13_18G136600	SoyZH13_18G136600.m1	PSAC
SoyZH13_18G136700	SoyZH13_18G136700.m1	NDHI
SoyZH13_18G146529	SoyZH13_18G146529.m1	AP3
SoyZH13_18G148600	SoyZH13_18G148600.m1	LOC113713586
SoyZH13_18G170500	SoyZH13_18G170500.m1	LOC107484823
SoyZH13_18G178300	SoyZH13_18G178300.m1	VE1
SoyZH13_18G203800	SoyZH13_18G203800.m1	TI
SoyZH13_18G203901	SoyZH13_18G203901.m1	TI
SoyZH13_18G209600	SoyZH13_18G209600.m3	AT4G01290
SoyZH13_18G209600	SoyZH13_18G209600.m4	AT4G01290
SoyZH13_18G209600	SoyZH13_18G209600.m5	AT4G01290
SoyZH13_18G212400	SoyZH13_18G212400.m1	11411223
SoyZH13_18G212400	SoyZH13_18G212400.m2	11411223
SoyZH13_18G212400	SoyZH13_18G212400.m3	11411223
SoyZH13_18G213200	SoyZH13_18G213200.m1	25484599
SoyZH13_18G229600	SoyZH13_18G229600.m1	102604323
SoyZH13_18G236400	SoyZH13_18G236400.m1	25497511
SoyZH13_18G236400	SoyZH13_18G236400.m2	25497511
SoyZH13_18G249901	SoyZH13_18G249901.m5	LOC107471993
SoyZH13_18G251000	SoyZH13_18G251000.m2	ATX2
SoyZH13_18G254700	SoyZH13_18G254700.m1	PPL1
SoyZH13_18G261901	SoyZH13_18G261901.m1	100810864
SoyZH13_18G269100	SoyZH13_18G269100.m1	PGSA
SoyZH13_19G001200	SoyZH13_19G001200.m1	RPL22
SoyZH13_19G001400	SoyZH13_19G001400.m1	EFTS
SoyZH13_19G001400	SoyZH13_19G001400.m2	EFTS
SoyZH13_19G001400	SoyZH13_19G001400.m3	EFTS
SoyZH13_19G001400	SoyZH13_19G001400.m4	EFTS
SoyZH13_19G009600	SoyZH13_19G009600.m1	25495824
SoyZH13_19G016900	SoyZH13_19G016900.m2	100792143
SoyZH13_19G023800	SoyZH13_19G023800.m1	11414918
SoyZH13_19G023800	SoyZH13_19G023800.m2	11414918
SoyZH13_19G023800	SoyZH13_19G023800.m3	11414918
SoyZH13_19G023800	SoyZH13_19G023800.m5	11414918
SoyZH13_19G038002	SoyZH13_19G038002.m1	TBL21
SoyZH13_19G050100	SoyZH13_19G050100.m3	100816784
SoyZH13_19G092100	SoyZH13_19G092100.m3	100527087
SoyZH13_19G097000	SoyZH13_19G097000.m1	PNSB2
SoyZH13_19G099501	SoyZH13_19G099501.m1	11437277
SoyZH13_19G099501	SoyZH13_19G099501.m2	11437277
SoyZH13_19G099501	SoyZH13_19G099501.m3	11437277
SoyZH13_19G099501	SoyZH13_19G099501.m4	11437277
SoyZH13_19G099501	SoyZH13_19G099501.m5	11437277
SoyZH13_19G099501	SoyZH13_19G099501.m6	11437277
SoyZH13_19G099501	SoyZH13_19G099501.m7	11437277
SoyZH13_19G099501	SoyZH13_19G099501.m8	11437277
SoyZH13_19G099501	SoyZH13_19G099501.m9	11437277
SoyZH13_19G100700	SoyZH13_19G100700.m1	CDCDR
SoyZH13_19G101000	SoyZH13_19G101000.m1	LOC106753680
SoyZH13_19G109800	SoyZH13_19G109800.m1	25497732
SoyZH13_19G111500	SoyZH13_19G111500.m1	FBP
SoyZH13_19G111900	SoyZH13_19G111900.m1	PPD6
SoyZH13_19G111900	SoyZH13_19G111900.m2	PPD6
SoyZH13_19G111900	SoyZH13_19G111900.m3	PPD6
SoyZH13_19G128200	SoyZH13_19G128200.m1	PURA
SoyZH13_19G128200	SoyZH13_19G128200.m2	PURA
SoyZH13_19G131000	SoyZH13_19G131000.m1	PGIP
SoyZH13_19G133001	SoyZH13_19G133001.m1	FAD
SoyZH13_19G139801	SoyZH13_19G139801.m1	100787886
SoyZH13_19G139801	SoyZH13_19G139801.m2	100787886
SoyZH13_19G149700	SoyZH13_19G149700.m1	LOC110414474
SoyZH13_19G154400	SoyZH13_19G154400.m1	MED11
SoyZH13_19G154400	SoyZH13_19G154400.m2	MED11
SoyZH13_19G154602	SoyZH13_19G154602.m1	AMT1;2
SoyZH13_19G164100	SoyZH13_19G164100.m1	25484038
SoyZH13_19G164100	SoyZH13_19G164100.m2	25484038
SoyZH13_19G164100	SoyZH13_19G164100.m3	25484038
SoyZH13_19G164100	SoyZH13_19G164100.m4	25484038
SoyZH13_19G171800	SoyZH13_19G171800.m1	100776360
SoyZH13_19G171800	SoyZH13_19G171800.m2	100776360
SoyZH13_19G171800	SoyZH13_19G171800.m3	100776360
SoyZH13_19G171800	SoyZH13_19G171800.m4	100776360
SoyZH13_19G174400	SoyZH13_19G174400.m1	25499364
SoyZH13_19G185800	SoyZH13_19G185800.m1	HIN1
SoyZH13_19G186800	SoyZH13_19G186800.m1	LOC113861830
SoyZH13_19G188600	SoyZH13_19G188600.m1	25499510
SoyZH13_19G188600	SoyZH13_19G188600.m2	25499510
SoyZH13_19G188600	SoyZH13_19G188600.m3	25499510
SoyZH13_19G188600	SoyZH13_19G188600.m4	25499510
SoyZH13_19G188600	SoyZH13_19G188600.m5	25499510
SoyZH13_19G188600	SoyZH13_19G188600.m6	25499510
SoyZH13_19G197000	SoyZH13_19G197000.m1	LSM4
SoyZH13_19G202100	SoyZH13_19G202100.m4	11420990
SoyZH13_19G202702	SoyZH13_19G202702.m1	MCM7
SoyZH13_19G222601	SoyZH13_19G222601.m1	11420850
SoyZH13_19G222601	SoyZH13_19G222601.m2	11420850
SoyZH13_19G231200	SoyZH13_19G231200.m19	100807705
SoyZH13_19G236800	SoyZH13_19G236800.m1	GCP2
SoyZH13_19G236800	SoyZH13_19G236800.m2	GCP2
SoyZH13_19G236800	SoyZH13_19G236800.m3	GCP2
SoyZH13_19G236800	SoyZH13_19G236800.m4	GCP2
SoyZH13_19G236800	SoyZH13_19G236800.m5	GCP2
SoyZH13_19G236800	SoyZH13_19G236800.m6	GCP2
SoyZH13_19G236800	SoyZH13_19G236800.m7	GCP2
SoyZH13_19G247500	SoyZH13_19G247500.m1	25499761
SoyZH13_19G247500	SoyZH13_19G247500.m2	25499761
SoyZH13_19G247500	SoyZH13_19G247500.m3	25499761
SoyZH13_19G248000	SoyZH13_19G248000.m1	11419389
SoyZH13_19G248000	SoyZH13_19G248000.m2	11419389
SoyZH13_19G248000	SoyZH13_19G248000.m3	11419389
SoyZH13_19G248000	SoyZH13_19G248000.m4	11419389
SoyZH13_19G248000	SoyZH13_19G248000.m5	11419389
SoyZH13_20G004800	SoyZH13_20G004800.m1	25482727
SoyZH13_20G004800	SoyZH13_20G004800.m2	25482727
SoyZH13_20G004800	SoyZH13_20G004800.m3	25482727
SoyZH13_20G004800	SoyZH13_20G004800.m4	25482727
SoyZH13_20G006800	SoyZH13_20G006800.m1	PFP-ALPHA
SoyZH13_20G006800	SoyZH13_20G006800.m2	PFP-ALPHA
SoyZH13_20G007200	SoyZH13_20G007200.m2	102665715
SoyZH13_20G016300	SoyZH13_20G016300.m1	25492999
SoyZH13_20G019700	SoyZH13_20G019700.m1	100797820
SoyZH13_20G023800	SoyZH13_20G023800.m1	AT1G55535
SoyZH13_20G035600	SoyZH13_20G035600.m1	HSP90
SoyZH13_20G035600	SoyZH13_20G035600.m2	HSP90
SoyZH13_20G043500	SoyZH13_20G043500.m1	MYB4
SoyZH13_20G043500	SoyZH13_20G043500.m2	MYB4
SoyZH13_20G043500	SoyZH13_20G043500.m3	MYB4
SoyZH13_20G043500	SoyZH13_20G043500.m4	MYB4
SoyZH13_20G043500	SoyZH13_20G043500.m5	MYB4
SoyZH13_20G043500	SoyZH13_20G043500.m6	MYB4
SoyZH13_20G043703	SoyZH13_20G043703.m1	POL
SoyZH13_20G048002	SoyZH13_20G048002.m1	GIN1
SoyZH13_20G049604	SoyZH13_20G049604.m1	POL
SoyZH13_20G050004	SoyZH13_20G050004.m1	GAG-POL
SoyZH13_20G050005	SoyZH13_20G050005.m1	POL
SoyZH13_20G051700	SoyZH13_20G051700.m1	UGT85K17
SoyZH13_20G051801	SoyZH13_20G051801.m1	POL
SoyZH13_20G051804	SoyZH13_20G051804.m1	GAG-POL
SoyZH13_20G051815	SoyZH13_20G051815.m1	POL
SoyZH13_20G051818	SoyZH13_20G051818.m1	POL
SoyZH13_20G052103	SoyZH13_20G052103.m1	POL
SoyZH13_20G053200	SoyZH13_20G053200.m1	PVIP1
SoyZH13_20G053200	SoyZH13_20G053200.m2	PVIP1
SoyZH13_20G053200	SoyZH13_20G053200.m3	PVIP1
SoyZH13_20G053200	SoyZH13_20G053200.m4	PVIP1
SoyZH13_20G053902	SoyZH13_20G053902.m1	POL
SoyZH13_20G053904	SoyZH13_20G053904.m1	POL
SoyZH13_20G054704	SoyZH13_20G054704.m1	GAG-POL
SoyZH13_20G054705	SoyZH13_20G054705.m1	GAG-POL
SoyZH13_20G058405	SoyZH13_20G058405.m1	GAG-POL
SoyZH13_20G061502	SoyZH13_20G061502.m1	POL
SoyZH13_20G061503	SoyZH13_20G061503.m1	POL
SoyZH13_20G061505	SoyZH13_20G061505.m1	GAG-POL
SoyZH13_20G063500	SoyZH13_20G063500.m4	LOC106771953
SoyZH13_20G063900	SoyZH13_20G063900.m10	LOC113848419
SoyZH13_20G063900	SoyZH13_20G063900.m11	LOC113848419
SoyZH13_20G063900	SoyZH13_20G063900.m12	LOC113848419
SoyZH13_20G063900	SoyZH13_20G063900.m9	LOC113848419
SoyZH13_20G065703	SoyZH13_20G065703.m1	GAG-POL
SoyZH13_20G065705	SoyZH13_20G065705.m1	GAG-POL
SoyZH13_20G070001	SoyZH13_20G070001.m1	GIN1
SoyZH13_20G071701	SoyZH13_20G071701.m1	GAG-POL
SoyZH13_20G072602	SoyZH13_20G072602.m1	LOC107473375
SoyZH13_20G074200	SoyZH13_20G074200.m1	11424727
SoyZH13_20G074200	SoyZH13_20G074200.m2	11424727
SoyZH13_20G074200	SoyZH13_20G074200.m3	11424727
SoyZH13_20G080000	SoyZH13_20G080000.m1	FEN1
SoyZH13_20G096200	SoyZH13_20G096200.m1	LOC106770723
SoyZH13_20G098000	SoyZH13_20G098000.m1	LIP1P
SoyZH13_20G105200	SoyZH13_20G105200.m1	11421877
SoyZH13_20G105200	SoyZH13_20G105200.m2	11421877
SoyZH13_20G105200	SoyZH13_20G105200.m3	11421877
SoyZH13_20G105200	SoyZH13_20G105200.m4	11421877
SoyZH13_20G105200	SoyZH13_20G105200.m5	11421877
SoyZH13_20G105200	SoyZH13_20G105200.m6	11421877
SoyZH13_20G111400	SoyZH13_20G111400.m1	TTR
SoyZH13_20G111400	SoyZH13_20G111400.m2	TTR
SoyZH13_20G114200	SoyZH13_20G114200.m1	NHAD2
SoyZH13_20G118500	SoyZH13_20G118500.m1	LOC113870919
SoyZH13_20G118500	SoyZH13_20G118500.m2	LOC113870919
SoyZH13_20G118500	SoyZH13_20G118500.m3	LOC113870919
SoyZH13_20G118500	SoyZH13_20G118500.m4	LOC113870919
SoyZH13_20G128700	SoyZH13_20G128700.m1	THI1
SoyZH13_20G130400	SoyZH13_20G130400.m4	11416201
SoyZH13_20G145000	SoyZH13_20G145000.m1	LOC106771455
SoyZH13_20G146600	SoyZH13_20G146600.m1	11421138
SoyZH13_20G146600	SoyZH13_20G146600.m4	11421138
SoyZH13_20G146700	SoyZH13_20G146700.m1	100810148
SoyZH13_20G152101	SoyZH13_20G152101.m1	SDC1
SoyZH13_20G155300	SoyZH13_20G155300.m2	LOC107877787
SoyZH13_20G161700	SoyZH13_20G161700.m1	25484964
SoyZH13_20G163300	SoyZH13_20G163300.m1	GATC
SoyZH13_20G170900	SoyZH13_20G170900.m1	LOC101488997
SoyZH13_20G171600	SoyZH13_20G171600.m1	RPSP
SoyZH13_20G171600	SoyZH13_20G171600.m2	RPSP
SoyZH13_20G200500	SoyZH13_20G200500.m1	EIF6
SoyZH13_20G202900	SoyZH13_20G202900.m1	100799209
SoyZH13_20G204300	SoyZH13_20G204300.m1	25484599
SoyZH13_20G213500	SoyZH13_20G213500.m1	AT5G27970
SoyZH13_20G213500	SoyZH13_20G213500.m2	AT5G27970
SoyZH13_20G213500	SoyZH13_20G213500.m3	AT5G27970
SoyZH13_20G213500	SoyZH13_20G213500.m4	AT5G27970
SoyZH13_20G213500	SoyZH13_20G213500.m5	AT5G27970
SoyZH13_20G213500	SoyZH13_20G213500.m6	AT5G27970
SoyZH13_20G217300	SoyZH13_20G217300.m1	LOC113872048
SoyZH13_20G217300	SoyZH13_20G217300.m2	LOC113872048
SoyZH13_U000001	SoyZH13_U000001.m1	CCMFN
SoyZH13_U000008	SoyZH13_U000008.m1	RPS12
SoyZH13_U000012	SoyZH13_U000012.m1	COX1
SoyZH13_U000021	SoyZH13_U000021.m1	RPS7
SoyZH13_U000028	SoyZH13_U000028.m1	RPS7
SoyZH13_U000031	SoyZH13_U000031.m1	RPL2
SoyZH13_U000035	SoyZH13_U000035.m1	RPL2
SoyZH13_U000037	SoyZH13_U000037.m1	PSBB
SoyZH13_U000038	SoyZH13_U000038.m1	PETA
SoyZH13_U000039	SoyZH13_U000039.m1	ACCD
SoyZH13_U000044	SoyZH13_U000044.m1	ATPB
SoyZH13_U000045	SoyZH13_U000045.m1	RBCL
SoyZH13_U000046	SoyZH13_U000046.m1	PSBA
SoyZH13_U000047	SoyZH13_U000047.m1	RPL2
SoyZH13_U000050	SoyZH13_U000050.m1	RPS7
SoyZH13_U000065	SoyZH13_U000065.m1	RPS7
SoyZH13_U000068	SoyZH13_U000068.m1	RPL2
SoyZH13_U000069	SoyZH13_U000069.m1	PSBA
SoyZH13_U000070	SoyZH13_U000070.m1	RBCL
SoyZH13_U000071	SoyZH13_U000071.m1	ATPB
SoyZH13_U000075	SoyZH13_U000075.m1	ATPB
SoyZH13_U000076	SoyZH13_U000076.m1	RBCL
SoyZH13_U000077	SoyZH13_U000077.m1	RBCL
SoyZH13_U000078	SoyZH13_U000078.m1	ATPB
SoyZH13_U000080	SoyZH13_U000080.m1	ATPB
SoyZH13_U000081	SoyZH13_U000081.m1	RBCL
SoyZH13_U000082	SoyZH13_U000082.m1	PSBA
SoyZH13_U000083	SoyZH13_U000083.m1	RPL2
SoyZH13_U000085	SoyZH13_U000085.m1	ACCD
SoyZH13_U000086	SoyZH13_U000086.m1	PETA
SoyZH13_U000088	SoyZH13_U000088.m1	RPOA
SoyZH13_U000089	SoyZH13_U000089.m1	RPL16
SoyZH13_U000090	SoyZH13_U000090.m1	RPL2
SoyZH13_U000102	SoyZH13_U000102.m1	RPS7
SoyZH13_U000105	SoyZH13_U000105.m1	RPL2
SoyZH13_U000108	SoyZH13_U000108.m1	RPL2
SoyZH13_U000111	SoyZH13_U000111.m1	RPS3
SoyZH13_U000116	SoyZH13_U000116.m1	COX1
SoyZH13_U000121	SoyZH13_U000121.m1	PETA
SoyZH13_U000122	SoyZH13_U000122.m1	PETA
SoyZH13_U000123	SoyZH13_U000123.m1	PSBB
SoyZH13_U000126	SoyZH13_U000126.m1	PSBB
